cod_cliente;numCuenta
84171214;2271233378129469
84120571;630456779333
15029096;213110530028059
94642452;676138265746
37872762;4171870325328483
23687158;4025387509527
06667528;180076154117040
32989168;347740817645933
49204483;30314720144541
71496252;2704866677253071
30267435;4379871397448
46262462;379292140516077
80780427;4773743105695961
46172860;4271937797334395
19929484;2293809403530187
62964111;30108265547294
09631038;30365982222292
02630342;2266564473672335
68121020;6544866308256167
95738987;30286466609319
35833284;3560884416607771
02823898;341641342781175
27279816;4874478023200019197
34257814;4278927516751360374
01046892;2704179676023101
20445683;4781493588010750932
76195235;4998165435473746
73293620;371135889916016
88359090;4577905036649269019
32677164;4440390866977619
20179366;2296333588045124
75388102;4790290128704684
49881646;4304106625264072
38870026;3529922401710893
59115496;30537686466777
32521603;4001020263034240
62067911;4071976582964786
53739612;3533135112005040
74965670;6011281542379367
73293804;4938421078078737
95595900;3514454699332328
86868150;375832502792651
09869615;4775055677548363
88501529;349449875266719
16448537;4237412671482515
89476420;38358332782976
48610964;378042695326625
72862582;3527668420192942
34393536;5269994163995599
25427028;4975271671848224
75085865;2720523193755440
09819139;4129977334448914
74351343;676208045317
29085972;4632638208104
34112335;4830333203082493
98405282;346958921423168
63339475;675917325986
55130943;3579969046557212
75805753;2252615318703846
88539386;3511009497148012
14174551;4429679873783761
68379032;4437531969271378865
18702347;4677638555317180
94109290;4567692534583
23513433;4952011842352533
27197493;3515154936518866
08958709;639096966937
07870798;3527053314367522
88155708;379636226806598
49167269;180025724802599
96781753;372038598860211
19391274;5236361951778746
19068190;180082074974544
79538374;4920668527471
40107691;180005556362300
34389058;4226942106912
54307971;4318423073099103382
70776607;4223599079024547528
50467976;4768175165162292
75411442;344983249009376
72688038;213115795693836
54557406;348922109130647
86618182;342622413600006
11373810;564644936911
79007740;4736571394092863
20962968;4829461242770704
23247994;4552578913535422
78400023;180096817191943
61430075;4267090965425466
83736513;6011549998541262
14602344;3595737417898782
04191735;3534951135474628
69743276;3515759674833887
40375922;6544068107904978
76241611;2249934447173227
36395910;4030356016721450
14038976;30232938752428
62505406;30222821262379
77588012;4231365744984303
32527643;4356232020375680
90884658;2718718259128797
48883276;4925323149739484
10510032;578209081087
88312576;6554996710491230
58357859;6545217382178167
48308342;345225216197456
05545742;4502745068664060199
13469719;371934419144937
15694331;30214773642690
07740152;342028227144969
23211834;6011038779855208
10428870;340420381899995
50288649;375082734026813
48254137;4411793625208
20903503;4207883529312
74082353;4494382062071929680
93015851;4625300045226926
28053170;4404556362424
40963754;30395915929432
85101159;2491536399500144
92484665;3516451363222148
06845582;3566578757410068
20990640;2284551565550790
17803847;4330983309924439
96046470;4159627501774146
45992711;4293379031435
78636934;4317594282745209
35045663;2555824176218418
45942440;2268930697997758
67332373;4577352472351782
49810813;30370078272656
74506910;38213448717160
99351014;4619598689412795677
12498185;2288692912170878
38770517;676334180467
68482350;4512801825787
38652356;213163034747013
01582710;30410422776232
97397670;6525791146562688
90689802;3594103384962468
33092515;4638792975310867
92348882;340006546015666
13316600;4234353363939318
03383551;30259128765621
34567111;213185788716027
67051595;6510360050219128
67185269;30460075194340
22704887;5423196022919710
90467820;574013796697
85581197;6520525469042299
70854725;4991545892644615
67960149;4919480795761312330
55830867;6011225071520347
80507901;4259916241209
01526066;4223925744782575
36772834;6536087742338822
09726437;4417962354635500
58598047;3515448703579477
82523145;3509398973081969
43479030;373732750998103
88830605;4623811196908098
05949960;5321697439660279
50506750;3559287467413615
03834336;4140492156898
55226394;3586594228622732
48282307;3526879209016050
99892449;4678746007020962299
06337506;3539043644241717
69726835;6572559557612603
64250847;3509550222781910
08364210;3593036761006387
54540811;4493589025931830292
47790049;36244936792201
32877762;4795165880541786
17602143;4943661117740853
75668334;581174365329
93820806;4417575490361771
26659503;4610560331237621217
50550944;580486843015
50755332;4005511204172032828
38902949;30224505782789
71962436;4112431066935835867
27339411;340719828650279
28065289;5241219648589756
62601849;6512196804939332
25837377;30088572759925
30820609;3538801084981642
84966988;5388326383356029
61075023;30307860676876
14695223;345393783477196
32241822;3582031420890894
47832251;561082998429
54145887;4827389862278710
82197988;3510180736243319
37385279;4636872153561091785
88986999;371428175937246
40347325;348992834026105
13931124;6543302907267042
46746337;4555954203996829029
74025497;4324371736836
10837443;502094718892
14496318;4195849364098959512
99933050;345297562699302
13293253;180070573106726
49631920;2704628365879561
68511401;376020863322107
54792333;3581608247529309
76775246;342292661372128
50308811;3504900739054936
95278230;4272116752388
57002453;213188799436585
49276817;3540570067369580
85489783;3551079872020913
85991491;180096561423013
53525505;4286667371348809
64609164;3504337280249500
26185330;2233329334192018
92099067;4486299237984468871
18221435;676205754812
26481630;3558695960799135
37858735;4630224131518413
13135010;4004962447113910
68687816;5151104149754794
13961961;30346286755799
69530807;30172866269252
09180703;4513878651239
99108779;4772176538058872
44507534;3598029099667298
53823281;4089193394465776
99515812;3502672627263653
68508197;5566530512420150
71868394;4710894968516491
98834174;4321792466765639
81318322;4008264886879
83863110;377805747531744
75270933;4473918595238885
80019435;30276724395371
95101903;4100467757367966731
17964715;180048586895337
09596610;676170851940
39585318;36025855530387
26020631;5588770366257969
24620826;3546102223884171
45831225;3500009008752958
67226887;30481237596321
15547934;2720396727856343
00370912;2291801553861589
03926710;4336543416586192
71479507;560164988522
46871039;213121345297128
52476891;2232784105679760
13245566;6011772483894851
57465500;4330172609667099102
70884289;676293281058
18026580;4031040534753
68867515;4304360290822645
59485216;4115787306796
13747596;4393942793308396
45483783;3595685121330024
74081851;4989007147263263024
44264987;36540034578354
48663557;213153546283359
17082181;3558033070560827
56478464;4414319640955791
18383256;3597179610949708
98168484;373290960920623
87483864;370531632930836
04415220;4610335365667579
52345791;5318030425435701
07617690;6529053021543747
93799553;4549010417137100653
36025749;180041238323931
15096739;4386725382114305910
83047848;30516018326990
17039390;4803011572917
27659694;340674172269459
99171513;4702331430962342
12253319;2288532274065599
27659762;2447905841181404
58214268;3598353423660617
71069944;4728731768794783480
14902697;6500625657088866
91045003;4666675829082615
32348750;2297465326767384
92817012;6011169673821747
41938751;3583538635021205
19553818;345733812991669
58863558;5364369671346227
14521966;4634569609342290
45667688;4727801139033927
74833832;589353439484
78131941;378465782847056
38662553;36354404568544
21037368;4467181993924154
81167548;583915981414
85431423;6595262072997723
87251975;180010176455625
92576902;5296886689088734
78001237;4966797927470810
05219452;36073167374789
54030176;060416751646
88210995;5478827012342141
99417116;2707461313795763
23629936;2245656363379785
58036099;4698029224638
99626952;3513046014201153
00581929;3550947970764536
81610143;180016359422423
21373794;4985086030314231
89004708;4190588813491247129
01290301;501819915544
77476418;4868246441258748
87833195;639021698886
45909177;3530982854198001
95113272;4230459246111
46496836;3566571486501976
72415252;3577855215466974
77396785;5178884057689301
19850542;2229041685565116
62910989;2358714966793606
99257125;180082082748336
74774326;4617856625402
37019495;30540045054029
24431620;30237866004957
78359499;6011692823917404
60683564;4811212266708942
15326690;3551988763270066
16648845;4225828002763890477
11696544;344125017397142
54147423;180065399695357
34435861;4067941472277455
36037186;379279388154778
25164800;4736276202888482
14868863;3584683912177210
75558727;180084541097032
10350737;6011796152056609
33287430;3588073362898307
49804669;4946388143083
49788006;4069484593384866
94172430;343829011181060
53326515;4858914586933530
53030498;4842578293346051
22219442;2292034162521290
30663619;564968477963
11329817;340043640625165
05973491;6579093218365321
03533178;3520023934178515
98217953;6550468983683665
84134646;6556356968325994
06874308;370833887752547
07864155;4281835571342477968
84667908;3506006361719735
62555524;3566364399025824
16546998;4771277521054877
10138236;3532686213953406
25897029;180079274027354
81331468;3552786184851111
65524312;4238958281181102
64866703;6526226644729058
89567074;38514488473469
07547768;30217537053906
52146947;4701371359265292847
75273965;4671674162437
86215350;4508725271733694
04564454;3577838682206123
17044226;38533706800451
00949293;2290138568252970
41880258;3537893784424057
32145670;180037933462560
23601352;502091259262
82368005;3590184082755085
63413878;4068661044235128130
10129661;2274311248152361
43720996;6011638421329864
15631039;2714293369335629
19730424;6011953604739924
47408395;4297888057493300847
53368690;6534273460104651
65080689;6011310470664589
14793257;180010566633260
05178698;4986818139189612
23734623;6011047014734615
97545460;370757065128560
78563421;6011806005379791
34826300;2717841336627572
90920134;5109355505188265
53301284;4630177909898494538
50621897;6506422102920974
43486946;4792467502234714
61474741;30268923080086
96421895;4070564874017516522
35237402;6011999705088216
23996076;3516732855331921
27840894;503810971054
32846980;6011053810300478
35524885;213157970515806
77954305;4785923452556273
64839349;349146126654749
69448898;4762514656792744
05671571;3555820427958289
34318287;2230403515813198
61060654;2275068806745783
39280060;3583429138304001
16127081;4559445148845
09630918;4535328680625
12216116;5488314046052804
15645289;3511851442293926
43574162;341151904084497
32561845;4112158481916820666
08735225;4819525487608
60292223;3533781578669405
14313677;30309568132061
45150180;676381507539
10172988;2266858096800996
47790032;4074188064266
42534488;502063832930
14352461;342627113495060
86209687;4354935732501512854
94985894;6011743942552976
75404475;3505691535451843
08027313;6577103902786211
33024301;345886264714128
24364355;630468530344
16177284;4854004213917900
26471891;4525610110716874970
43831456;4395506037626935
26008448;2583504889734531
17887939;6011801572483571
36774678;2702202381017705
08786777;3515159437361724
18094916;4283813212079657
96225882;4438042793024163
97697442;38513405681949
53293176;346622686705678
65778562;30595902760084
80100898;4240299676408404
28138068;4637548061625647
40899022;571867277261
30358379;2224763720390250
38569593;4576137134020401780
78765214;213163217211308
19821030;372735360403795
16234574;3598958186822962
11374060;180010454172504
14148569;180061419713767
36020799;30559592997901
07516573;3543471763897924
75022228;4377423364916
87921212;4250533901937481
96104880;2618761529993328
44023928;3506291973521212
44945176;4325411779442754
48538046;3574877869099573
27529034;3572980319446394
53671042;6011058662630146
20618483;36460159244163
47415485;2465630735558494
68474867;060475588160
47979826;30024775772506
85736399;6595034315137130
74832538;6011147260009603
20489885;30320227548399
60268600;3519180850222546
35241201;213199946526087
77157850;4590124206967902321
55057479;4614145347017009
03492574;213130257584720
46427601;36061899244826
45197383;4445135768877739
09624078;374064344809276
21251580;4670130822450670225
65863312;30325898547174
29503179;4238506935849664501
95018911;4034130215153054
20392406;3503242769073226
06795139;4111418503826895
86416276;503838534702
50075249;4510157073219633957
65789049;3518631911557545
04237433;4263862126312021
72419526;180097958682526
93439398;6579551318494713
